,names,hps
95,Chinchou,89.0
96,Chingling,57.0
97,Cinccino,56.0
98,Clamperl,81.0
99,Clauncher,81.0
100,Clawitzer,89.0
101,Claydol,73.0
102,Clefable,23.0
103,Clefairy,85.0
104,Cleffa,81.0
105,Cloyster,95.0
106,Cobalion,46.0
107,Cofagrigus,133.0
108,Combee,36.0
109,Combusken,87.0
110,Conkeldurr,69.0
111,Corphish,56.0
112,Corsola,89.0
113,Cottonee,61.0
114,Cradily,8.0
115,Cranidos,38.0
116,Crawdaunt,80.0
117,Cresselia,126.0
118,Croagunk,30.0
119,Crobat,68.0
120,Croconaw,106.0
121,Crustle,84.0
122,Cryogonal,59.0
123,Cubchoo,32.0
124,Cubone,22.0
125,Cyndaquil,49.0
126,Darkrai,59.0
127,DarmanitanStandard Mode,10.0
128,DarmanitanZen Mode,24.0
129,Darumaka,76.0
130,Dedenne,58.0
131,Deerling,49.0
132,Deino,58.0
133,Delcatty,47.0
134,Delibird,92.0
135,Delphox,111.0
136,Dewgong,122.0
137,Dewott,87.0
138,Dialga,88.0
139,Diancie,106.0
140,Diggersby,113.0
141,Diglett,106.0
142,Ditto,100.0
143,Dodrio,52.0
144,Doduo,27.0
145,Donphan,91.0
146,Doublade,66.0
147,Dragalge,67.0
148,Dragonair,45.0
149,Dragonite,35.0
150,Drapion,104.0
151,Dratini,80.0
152,Drifblim,41.0
153,Drifloon,78.0
154,Drilbur,76.0
155,Drowzee,82.0
156,Druddigon,126.0
157,Ducklett,67.0
158,Dugtrio,35.0
159,Dunsparce,69.0
160,Duosion,52.0
161,Durant,82.0
162,Dusclops,74.0
163,Dusknoir,77.0
164,Duskull,54.0
165,Dustox,79.0
166,Dwebble,55.0
167,Eelektrik,82.0
168,Eelektross,60.0
169,Eevee,39.0
170,Ekans,81.0
171,Electabuzz,50.0
172,Electivire,106.0
173,Electrike,80.0
174,Electrode,80.0
175,Elekid,71.0
176,Elgyem,67.0
177,Emboar,7.0
178,Emolga,100.0
179,Empoleon,47.0
180,Entei,93.0
181,Escavalier,52.0
182,Espeon,65.0
183,Espurr,62.0
184,Excadrill,41.0
185,Exeggcute,64.0
186,Exeggutor,81.0
187,Exploud,58.0
188,Farfetch'd,36.0
189,Fearow,53.0
190,Feebas,75.0
191,Fennekin,98.0
192,Feraligatr,90.0
193,Ferroseed,76.0
194,Ferrothorn,43.0
195,Finneon,92.0
196,Flaaffy,69.0
197,Flabébé,62.0
198,Flareon,92.0
199,Fletchinder,84.0
200,Fletchling,81.0
201,Floatzel,38.0
202,Floette,52.0
203,Florges,24.0
204,Flygon,73.0
205,Foongus,69.0
206,Forretress,92.0
207,Fraxure,74.0
208,Frillish,59.0
209,Froakie,123.0
210,Frogadier,42.0
211,Froslass,34.0
212,Furfrou,52.0
213,Furret,82.0
214,Gabite,59.0
215,Gallade,57.0
216,Galvantula,39.0
217,Garbodor,106.0
218,Garchomp,52.0
219,Gardevoir,40.0
220,Gastly,65.0
221,Gastrodon,47.0
222,Genesect,62.0
223,Gengar,103.0
224,Geodude,57.0
225,Gible,67.0
226,Gigalith,59.0
227,Girafarig,63.0
228,Glaceon,89.0
229,Glalie,82.0
230,Glameow,59.0
231,Gligar,44.0
232,Gliscor,65.0
233,Gloom,90.0
234,Gogoat,68.0
235,Golbat,65.0
236,Goldeen,22.0
237,Golduck,94.0
238,Golem,30.0
239,Golett,35.0
240,Golurk,59.0
241,Goodra,69.0
242,Goomy,69.0
243,Gorebyss,48.0
244,Gothita,60.0
245,Gothitelle,53.0
246,Gothorita,21.0
247,Granbull,62.0
248,Graveler,50.0
249,Greninja,79.0
250,Grimer,64.0
251,Grotle,93.0
252,Groudon,86.0
253,GroudonPrimal Groudon,91.0
254,Grovyle,99.0
255,Growlithe,86.0
256,Grumpig,64.0
257,Gulpin,103.0
258,Gurdurr,44.0
259,Gyarados,67.0
260,Happiny,90.0
261,Hariyama,61.0
262,Haunter,87.0
263,Hawlucha,47.0
264,Haxorus,54.0
265,Heatmor,82.0
266,Heatran,87.0
267,Heliolisk,99.0
268,Helioptile,66.0
269,Heracross,76.0
270,Herdier,84.0
271,Hippopotas,80.0
272,Hippowdon,35.0
273,Hitmonchan,54.0
274,Hitmonlee,105.0
275,Hitmontop,36.0
276,Ho-oh,84.0
277,Honchkrow,57.0
278,Honedge,94.0
279,Hoothoot,48.0
280,Hoppip,69.0
281,Horsea,16.0
282,Houndoom,67.0
283,Houndour,96.0
284,Huntail,29.0
285,Hydreigon,99.0
286,Hypno,50.0
287,Igglybuff,67.0
288,Illumise,1.0
289,Infernape,96.0
290,Inkay,46.0
291,Ivysaur,54.0
292,Jellicent,35.0
293,Jigglypuff,43.0
294,Jirachi,98.0
295,Jolteon,55.0
296,Joltik,91.0
297,Jumpluff,64.0
298,Jynx,77.0
299,Kabuto,55.0
300,Kabutops,79.0
301,Kadabra,135.0
302,Kakuna,85.0
303,Kangaskhan,81.0
304,Karrablast,56.0
305,Kecleon,94.0
306,Kingdra,103.0
307,Kingler,24.0
308,Kirlia,33.0
309,Klang,123.0
310,Klefki,79.0
311,Klink,72.0
312,Klinklang,83.0
313,Koffing,97.0
314,Krabby,89.0
315,Kricketot,62.0
316,Kricketune,122.0
317,Krokorok,69.0
318,Krookodile,46.0
319,Kyogre,54.0
320,KyogrePrimal Kyogre,65.0
321,Kyurem,58.0
322,KyuremBlack Kyurem,63.0
323,KyuremWhite Kyurem,76.0
324,Lairon,1.0
325,Lampent,48.0
326,Lanturn,93.0
327,Lapras,83.0
328,Larvesta,51.0
329,Larvitar,52.0
330,Latias,98.0
331,Latios,62.0
332,Leafeon,55.0
333,Leavanny,116.0
334,Ledian,59.0
335,Ledyba,86.0
336,Lickilicky,67.0
337,Lickitung,70.0
338,Liepard,44.0
339,Lileep,47.0
340,Lilligant,101.0
341,Lillipup,39.0
342,Linoone,75.0
343,Litleo,37.0
344,Litwick,62.0
345,Lombre,67.0
346,Lopunny,26.0
347,Lotad,98.0
348,Loudred,63.0
349,Lucario,100.0
350,Ludicolo,44.0
351,Lugia,92.0
352,Lumineon,129.0
353,Lunatone,74.0
354,Luvdisc,52.0
355,Luxio,81.0
356,Luxray,72.0
357,Machamp,63.0
358,Machoke,65.0
359,Machop,53.0
360,Magby,79.0
361,Magcargo,58.0
362,Magikarp,46.0
363,Magmar,89.0
364,Magmortar,64.0
365,Magnemite,137.0
366,Magneton,62.0
367,Magnezone,50.0
368,Makuhita,54.0
369,Malamar,78.0
370,Mamoswine,50.0
371,Manaphy,36.0
372,Mandibuzz,111.0
373,Manectric,36.0
374,Mankey,107.0
375,Mantine,72.0
376,Mantyke,41.0
377,Maractus,111.0
378,Mareep,63.0
379,Marill,42.0
380,Marowak,70.0
381,Marshtomp,101.0
382,Masquerain,86.0
383,Mawile,90.0
384,Medicham,114.0
385,Meditite,74.0
386,MeowsticFemale,78.0
387,MeowsticMale,62.0
388,Meowth,31.0
389,Mesprit,64.0
390,Metagross,110.0
391,Metang,24.0
392,Metapod,103.0
393,Mew,75.0
394,Mewtwo,45.0
395,Mienfoo,70.0
396,Mienshao,114.0
397,Mightyena,53.0
398,Milotic,89.0
399,Miltank,97.0
400,Mime Jr.,45.0
401,Minccino,85.0
402,Minun,82.0
403,Misdreavus,56.0
404,Mismagius,86.0
405,Moltres,59.0
406,Monferno,53.0
407,Mothim,36.0
408,Mr. Mime,78.0
409,Mudkip,57.0
410,Muk,54.0
411,Munchlax,39.0
412,Munna,33.0
413,Murkrow,48.0
414,Musharna,87.0
415,Natu,47.0
416,Nidoking,106.0
417,Nidoqueen,79.0
418,Nidoran♀,72.0
419,Nidoran♂,37.0
420,Nidorina,119.0
421,Nidorino,31.0
422,Nincada,82.0
423,Ninetales,112.0
424,Ninjask,63.0
425,Noctowl,51.0
426,Noibat,68.0
427,Noivern,92.0
428,Nosepass,103.0
429,Numel,84.0
430,Nuzleaf,41.0
431,Octillery,51.0
432,Oddish,73.0
433,Omanyte,35.0
434,Omastar,62.0
435,Onix,126.0
436,Oshawott,41.0
437,Pachirisu,98.0
438,Palkia,44.0
439,Palpitoad,59.0
440,Pancham,66.0
441,Pangoro,29.0
442,Panpour,66.0
443,Pansage,102.0
444,Pansear,87.0
445,Paras,86.0
446,Parasect,47.0
447,Patrat,64.0
448,Pawniard,73.0
449,Pelipper,86.0
450,Persian,103.0
451,Petilil,42.0
452,Phanpy,112.0
453,Phantump,61.0
454,Phione,62.0
455,Pichu,37.0
456,Pidgeot,66.0
457,Pidgeotto,62.0
458,Pidgey,36.0
459,Pidove,61.0
460,Pignite,71.0
461,Pikachu,58.0
462,Piloswine,88.0
463,Pineco,42.0
464,Pinsir,91.0
465,Piplup,63.0
466,Plusle,78.0
467,Politoed,21.0
468,Poliwag,72.0
469,Poliwhirl,67.0
470,Poliwrath,92.0
471,Ponyta,38.0
472,Poochyena,103.0
473,Porygon,40.0
474,Porygon-Z,102.0
475,Porygon2,83.0
476,Primeape,49.0
477,Prinplup,124.0
478,Probopass,37.0
479,Psyduck,64.0
480,Pupitar,74.0
481,Purrloin,82.0
482,Purugly,74.0
483,Pyroar,89.0
484,Quagsire,80.0
485,Quilava,69.0
486,Quilladin,44.0
487,Qwilfish,59.0
488,Raichu,92.0
489,Raikou,38.0
490,Ralts,71.0
491,Rampardos,15.0
492,Rapidash,50.0
493,Raticate,26.0
494,Rattata,100.0
495,Rayquaza,21.0
496,Regice,62.0
497,Regigigas,87.0
498,Regirock,84.0
499,Registeel,88.0
500,Relicanth,96.0
501,Remoraid,80.0
502,Reshiram,90.0
503,Reuniclus,67.0
504,Rhydon,68.0
505,Rhyhorn,23.0
506,Rhyperior,73.0
507,Riolu,101.0
508,Roggenrola,49.0
509,Roselia,38.0
510,Roserade,71.0
511,Rotom,98.0
512,RotomFan Rotom,99.0
513,RotomFrost Rotom,29.0
514,RotomHeat Rotom,80.0
515,RotomMow Rotom,51.0
516,RotomWash Rotom,75.0
517,Rufflet,10.0
518,Sableye,92.0
519,Salamence,58.0
520,Samurott,74.0
521,Sandile,64.0
522,Sandshrew,42.0
523,Sandslash,82.0
524,Sawk,56.0
525,Sawsbuck,50.0
526,Scatterbug,85.0
527,Sceptile,66.0
528,Scizor,50.0
529,Scolipede,92.0
530,Scrafty,53.0
531,Scraggy,67.0
532,Scyther,87.0
533,Seadra,93.0
534,Seaking,99.0
535,Sealeo,111.0
536,Seedot,69.0
537,Seel,48.0
538,Seismitoad,111.0
539,Sentret,104.0
540,Serperior,60.0
541,Servine,86.0
542,Seviper,58.0
543,Sewaddle,28.0
544,Sharpedo,95.0
545,Shedinja,77.0
546,Shelgon,71.0
547,Shellder,112.0
548,Shellos,105.0
549,Shelmet,52.0
550,Shieldon,40.0
551,Shiftry,19.0
552,Shinx,68.0
553,Shroomish,58.0
554,Shuckle,78.0
555,Shuppet,69.0
556,Sigilyph,51.0
557,Silcoon,58.0
558,Simipour,28.0
559,Simisage,100.0
560,Simisear,54.0
561,Skarmory,84.0
562,Skiddo,51.0
563,Skiploom,70.0
564,Skitty,84.0
565,Skorupi,61.0
566,Skrelp,47.0
567,Skuntank,128.0
568,Slaking,63.0
569,Slakoth,83.0
570,Sliggoo,66.0
571,Slowbro,48.0
572,Slowking,102.0
573,Slowpoke,78.0
574,Slugma,77.0
575,Slurpuff,9.0
576,Smeargle,76.0
577,Smoochum,90.0
578,Sneasel,76.0
579,Snivy,64.0
580,Snorlax,99.0
581,Snorunt,75.0
582,Snover,83.0
583,Snubbull,95.0
584,Solosis,94.0
585,Solrock,34.0
586,Spearow,77.0
587,Spewpa,49.0
588,Spheal,16.0
589,Spinarak,76.0
590,Spinda,23.0
591,Spiritomb,56.0
592,Spoink,3.0
593,Spritzee,42.0
594,Squirtle,56.0
595,Stantler,68.0
596,Staraptor,54.0
597,Staravia,44.0
598,Starly,45.0
599,Starmie,108.0
600,Staryu,56.0
601,Steelix,66.0
602,Stoutland,117.0
603,Stunfisk,23.0
604,Stunky,15.0
605,Sudowoodo,42.0
606,Suicune,58.0
607,Sunflora,39.0
608,Sunkern,67.0
609,Surskit,66.0
610,Swablu,28.0
611,Swadloon,72.0
612,Swalot,31.0
613,Swampert,86.0
614,Swanna,74.0
615,Swellow,125.0
616,Swinub,89.0
617,Swirlix,63.0
618,Swoobat,77.0
619,Sylveon,72.0
620,Taillow,49.0
621,Talonflame,31.0
622,Tangela,96.0
623,Tangrowth,107.0
624,Tauros,56.0
625,Teddiursa,61.0
626,Tentacool,56.0
627,Tentacruel,94.0
628,Tepig,99.0
629,Terrakion,46.0
630,Throh,59.0
631,Timburr,54.0
632,Tirtouga,74.0
633,Togekiss,88.0
634,Togepi,96.0
635,Togetic,61.0
636,Torchic,43.0
637,Torkoal,82.0
638,Torterra,83.0
639,Totodile,59.0
640,Toxicroak,72.0
641,Tranquill,77.0
642,Trapinch,91.0
643,Treecko,70.0
644,Trevenant,81.0
645,Tropius,73.0
646,Trubbish,43.0
647,Turtwig,86.0
648,Tympole,71.0
649,Tynamo,95.0
650,Typhlosion,38.0
651,Tyranitar,50.0
652,Tyrantrum,77.0
653,Tyrogue,24.0
654,Tyrunt,65.0
655,Umbreon,57.0
656,Unfezant,57.0
657,Unown,62.0
658,Ursaring,11.0
659,Uxie,69.0
660,Vanillish,70.0
661,Vanillite,95.0
662,Vanilluxe,106.0
663,Vaporeon,77.0
664,Venipede,92.0
665,Venomoth,6.0
666,Venonat,82.0
667,Venusaur,97.0
668,Vespiquen,91.0
669,Vibrava,74.0
670,Victini,59.0
671,Victreebel,59.0
672,Vigoroth,69.0
673,Vileplume,79.0
674,Virizion,83.0
675,Vivillon,66.0
676,Volbeat,36.0
677,Volcanion,115.0
678,Volcarona,46.0
679,Voltorb,1.0
680,Vullaby,105.0
681,Vulpix,94.0
682,Wailmer,73.0
683,Wailord,93.0
684,Walrein,80.0
685,Wartortle,47.0
686,Watchog,71.0
687,Weavile,36.0
688,Weedle,51.0
689,Weepinbell,46.0
690,Weezing,72.0
691,Whimsicott,96.0
692,Whirlipede,52.0
693,Whiscash,80.0
694,Whismur,13.0
695,Wigglytuff,41.0
696,Wingull,82.0
697,Wobbuffet,93.0
698,Woobat,93.0
699,Wooper,96.0
700,WormadamPlant Cloak,26.0
701,WormadamSandy Cloak,55.0
702,WormadamTrash Cloak,2.0
703,Wurmple,64.0
704,Wynaut,74.0
705,Xatu,59.0
706,Xerneas,44.0
707,Yamask,79.0
708,Yanma,82.0
709,Yanmega,72.0
710,Yveltal,53.0
711,Zangoose,69.0
712,Zapdos,70.0
713,Zebstrika,75.0
714,Zekrom,84.0
715,Zigzagoon,68.0
716,Zoroark,31.0
717,Zorua,61.0
718,Zubat,78.0
719,Zweilous,57.0
